step,Time,Hour,Minute,minute_of_day,fridge_kw,ac_kw,heater_kw,dehumidifier_kw,dryer_kw,lighting_kw,washer_kw,transferPump_kw,boosterPump_kw,total_power_kw,energy_kwh
0,00:00,0,0,0,0.07047803398384579,0.0,0.0,0.02,0.0,0.044282913756619094,0.0,0.0,0.0,0.13476094774046488,0.03369023693511622
1,00:15,0,15,15,0.08671042531317981,0.0,0.0,0.02,0.0,0.045570059829214624,0.0,0.0,0.0,0.15228048514239445,0.03807012128559861
2,00:30,0,30,30,0.08729621175080672,0.0,0.0,0.02,0.0,0.04383974637671583,0.0,0.0,0.0,0.15113595812752256,0.03778398953188064
3,00:45,0,45,45,0.0718922475462189,0.0,0.0,0.02,0.0,0.04453126777973789,0.0,0.0,0.0,0.13642351532595678,0.034105878831489196
4,01:00,1,0,60,0.04952196601615421,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0727219660161542,0.01818049150403855
5,01:15,1,15,75,0.033289574686820186,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05328957468682019,0.013322393671705048
6,01:30,1,30,90,0.03270378824919328,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05270378824919328,0.01317594706229832
7,01:45,1,45,105,0.0481077524537811,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0713077524537811,0.017826938113445275
8,02:00,2,0,120,0.07047803398384579,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.09367803398384579,0.023419508495961448
9,02:15,2,15,135,0.08671042531317981,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10671042531317981,0.026677606328294953
10,02:30,2,30,150,0.08729621175080672,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.10729621175080672,0.02682405293770168
11,02:45,2,45,165,0.0718922475462189,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0950922475462189,0.023773061886554724
12,03:00,3,0,180,0.04952196601615421,0.0,4.0,0.02,0.0,0.0032,0.0,0.0,0.0,4.072721966016154,1.0181804915040384
13,03:15,3,15,195,0.033289574686820186,0.0,0.26666666666666666,0.02,0.0,0.0,0.0,0.0,0.0,0.3199562413534869,0.07998906033837172
14,03:30,3,30,210,0.03270378824919328,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05270378824919328,0.01317594706229832
15,03:45,3,45,225,0.0481077524537811,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0713077524537811,0.017826938113445275
16,04:00,4,0,240,0.3,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.3232,0.0808
17,04:15,4,15,255,0.10333333333333333,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12333333333333334,0.030833333333333334
18,04:30,4,30,270,0.059044903674569806,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0790449036745698,0.01976122591864245
19,04:45,4,45,285,0.0718922475462189,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0950922475462189,0.023773061886554724
20,05:00,5,0,300,0.04952196601615421,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0727219660161542,0.01818049150403855
21,05:15,5,15,315,0.033289574686820186,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05328957468682019,0.013322393671705048
22,05:30,5,30,330,0.03270378824919328,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05270378824919328,0.01317594706229832
23,05:45,5,45,345,0.0481077524537811,0.0,0.0,0.02,0.0,0.0032,0.0,0.0,0.0,0.0713077524537811,0.017826938113445275
24,06:00,6,0,360,0.07047803398384579,0.0,0.0,0.02,0.0,0.10792456138573202,0.0,0.0,0.0,0.19840259536957783,0.04960064884239446
25,06:15,6,15,375,0.08671042531317981,0.0,0.0,0.02,0.0,0.10677791985419814,0.0,0.0,0.0,0.21348834516737797,0.05337208629184449
26,06:30,6,30,390,0.08729621175080672,0.0,0.0,0.02,0.0,0.10883014842586106,0.0,0.0,0.0,0.21612636017666778,0.054031590044166945
27,06:45,6,45,405,0.0718922475462189,0.0,0.0,0.02,0.0,0.10578319015179802,0.0,0.0,0.0,0.19767543769801693,0.04941885942450423
28,07:00,7,0,420,0.04952196601615421,0.0,0.0,0.02,0.0,0.10769777788051318,0.0,0.0,0.0,0.1772197438966674,0.04430493597416685
29,07:15,7,15,435,0.033289574686820186,0.0,0.0,0.02,0.0,0.1091224458396737,0.0,0.0,0.0,0.1624120205264939,0.040603005131623474
30,07:30,7,30,450,0.03270378824919328,0.0,4.0,0.02,0.0,0.10705548519629578,0.0,0.0,0.13999999999999999,4.299759273445488,1.074939818361372
31,07:45,7,45,465,0.0481077524537811,0.0,4.0,0.02,0.0,0.10474030755557202,0.0,0.0,0.09333333333333332,4.266181393342686,1.0665453483356715
32,08:00,8,0,480,0.07047803398384579,0.0,0.0,0.2866666666666667,0.0,0.0032,0.0,0.0,0.13999999999999999,0.5003447006505124,0.1250861751626281
33,08:15,8,15,495,0.08671042531317981,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.09333333333333332,0.4300437586465131,0.10751093966162828
34,08:30,8,30,510,0.08729621175080672,0.0,0.0,0.25,0.0,0.0,0.0,0.4686666666666667,0.02333333333333333,0.8292962117508067,0.20732405293770167
35,08:45,8,45,525,0.0718922475462189,0.0,0.0,0.25,0.0,0.0032,0.0,0.37,0.0,0.6950922475462189,0.17377306188655472
36,09:00,9,0,540,0.04952196601615421,0.0,0.0,0.25,0.0,0.0032,0.0,0.0,0.0,0.3027219660161542,0.07568049150403855
37,09:15,9,15,555,0.033289574686820186,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2832895746868202,0.07082239367170505
38,09:30,9,30,570,0.03270378824919328,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2827037882491933,0.07067594706229832
39,09:45,9,45,585,0.0481077524537811,0.0,0.0,0.25,0.0,0.0032,0.0,0.0,0.0,0.30130775245378105,0.07532693811344526
40,10:00,10,0,600,0.07047803398384579,0.0,0.0,0.25,0.0,0.0032,0.0,0.0,0.0,0.32367803398384576,0.08091950849596144
41,10:15,10,15,615,0.08671042531317981,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3367104253131798,0.08417760632829495
42,10:30,10,30,630,0.08729621175080672,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3372962117508067,0.08432405293770168
43,10:45,10,45,645,0.0718922475462189,0.0,0.0,0.25,0.0,0.0032,0.0,0.0,0.0,0.3250922475462189,0.08127306188655473
44,11:00,11,0,660,0.04952196601615421,0.0,0.0,0.25,0.0,0.0032,0.0,0.0,0.0,0.3027219660161542,0.07568049150403855
45,11:15,11,15,675,0.033289574686820186,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2832895746868202,0.07082239367170505
